model,num_samples,seed,dataset,accuracy,f1,true_positive_rate,true_negative_rate,negative_support,positive_support,roc_auc,average_precision
llama3_8b_inst,20000,seed_2,wildguardtest,0.8975868157739847,0.8793342579750347,0.8408488063660478,0.9428571428571428,945,754,0.9531416221071394,0.945656171928464
llama3_8b_inst,40000,seed_2,wildguardtest,0.898175397292525,0.8802768166089966,0.843501326259947,0.9417989417989417,945,754,0.9537886124093022,0.945519240290009
llama3_8b_inst,10,seed_3,wildguardtest,0.7039434961742201,0.6727391021470397,0.6856763925729443,0.7185185185185186,945,754,0.8206082550910138,0.7678531041849879
llama3_8b_inst,100,seed_3,wildguardtest,0.8457916421424367,0.8274044795783926,0.8328912466843501,0.8560846560846561,945,754,0.8945223359016463,0.8544638957194512
llama3_8b_inst,1000,seed_3,wildguardtest,0.8769864626250736,0.855363321799308,0.8196286472148541,0.9227513227513228,945,754,0.928266879991018,0.9140046586237225
llama3_8b_inst,10000,seed_3,wildguardtest,0.8952324896998234,0.8765603328710125,0.8381962864721485,0.9407407407407408,945,754,0.95240621447518,0.9465073698681663
llama3_8b_inst,20000,seed_3,wildguardtest,0.8975868157739847,0.8795013850415513,0.8421750663129973,0.9417989417989417,945,754,0.9532524946318051,0.94643185309549
llama3_8b_inst,40000,seed_3,wildguardtest,0.8987639788110653,0.8810511756569848,0.8448275862068966,0.9417989417989417,945,754,0.9538756262894194,0.9458251803116351
llama3_8b_inst,10,seed_4,wildguardtest,0.7639788110653325,0.7437699680511182,0.7718832891246684,0.7576719576719577,945,754,0.8005747126436782,0.7350022007030179
llama3_8b_inst,100,seed_4,wildguardtest,0.8569746909947028,0.82679971489665,0.7692307692307693,0.926984126984127,945,754,0.9089427813565744,0.8999936643879829
llama3_8b_inst,1000,seed_4,wildguardtest,0.8887580929958799,0.8704592186429061,0.8421750663129973,0.9259259259259259,945,754,0.9424852286921253,0.9389017335541975
llama3_8b_inst,10000,seed_4,wildguardtest,0.898175397292525,0.8802768166089966,0.843501326259947,0.9417989417989417,945,754,0.9531009220664395,0.9468347724162244
llama3_8b_inst,20000,seed_4,wildguardtest,0.8975868157739847,0.8798342541436464,0.8448275862068966,0.9396825396825397,945,754,0.9538040503557745,0.9470124938818711
llama3_8b_inst,40000,seed_4,wildguardtest,0.8993525603296056,0.8816608996539792,0.8448275862068966,0.9428571428571428,945,754,0.9535275707689501,0.9453689843515074
mistral7b_inst,10,seed_0,wildguardtest,0.7798705120659212,0.7424242424242424,0.7148541114058355,0.8317460317460318,945,754,0.8442023493747631,0.7992419960714293
mistral7b_inst,100,seed_0,wildguardtest,0.8216597998822837,0.8010505581089954,0.8090185676392573,0.8317460317460318,945,754,0.8744684434339607,0.8291637487952486
mistral7b_inst,1000,seed_0,wildguardtest,0.872277810476751,0.848990953375087,0.8090185676392573,0.9227513227513228,945,754,0.9161859851515023,0.9079866952102892
mistral7b_inst,10000,seed_0,wildguardtest,0.8887580929958799,0.8686587908269632,0.8289124668435013,0.9365079365079365,945,754,0.9489425006666384,0.9371200709996719
mistral7b_inst,20000,seed_0,wildguardtest,0.8893466745144203,0.8703448275862069,0.8368700265251989,0.9312169312169312,945,754,0.9507122507122507,0.9389927059350129
mistral7b_inst,40000,seed_0,wildguardtest,0.8946439081812831,0.8761245674740484,0.8395225464190982,0.9386243386243386,945,754,0.9513494168666582,0.9403058637936111
mistral7b_inst,10,seed_1,wildguardtest,0.7692760447321955,0.6754966887417219,0.5411140583554377,0.9513227513227513,945,754,0.8581224650190169,0.837036568037187
mistral7b_inst,100,seed_1,wildguardtest,0.8346085932901707,0.8071379547014413,0.7798408488063661,0.8783068783068783,945,754,0.8882678624057935,0.8482348492206733
mistral7b_inst,1000,seed_1,wildguardtest,0.872277810476751,0.8462083628632175,0.7917771883289124,0.9365079365079365,945,754,0.9196454886110057,0.909993679116083
mistral7b_inst,10000,seed_1,wildguardtest,0.8958210712183637,0.8776779543883898,0.8421750663129973,0.9386243386243386,945,754,0.9514406410958135,0.9410661851291274
mistral7b_inst,20000,seed_1,wildguardtest,0.8934667451442024,0.874913614374568,0.8395225464190982,0.9365079365079365,945,754,0.9518055380124344,0.9403489434789049
mistral7b_inst,40000,seed_1,wildguardtest,0.8952324896998234,0.8770718232044199,0.8421750663129973,0.9375661375661376,945,754,0.9512638064362202,0.9403625759567958
mistral7b_inst,10,seed_2,wildguardtest,0.7251324308416716,0.7231772377000593,0.8090185676392573,0.6582010582010582,945,754,0.8097188890292338,0.7151162676638341
mistral7b_inst,100,seed_2,wildguardtest,0.8334314302530901,0.7959625090122566,0.7320954907161804,0.9142857142857143,945,754,0.8943202391478253,0.864211957815364
mistral7b_inst,1000,seed_2,wildguardtest,0.872277810476751,0.84941013185288,0.8116710875331565,0.9206349206349206,945,754,0.9187823670582291,0.9001169027481487
mistral7b_inst,10000,seed_2,wildguardtest,0.8858151854031784,0.8654646324549237,0.8275862068965517,0.9322751322751323,945,754,0.9490996870307216,0.9377597294296416
mistral7b_inst,20000,seed_2,wildguardtest,0.8922895821071218,0.8730048577376822,0.8342175066312998,0.9386243386243386,945,754,0.9503487572453088,0.9393712524547216
mistral7b_inst,40000,seed_2,wildguardtest,0.8946439081812831,0.8761245674740484,0.8395225464190982,0.9386243386243386,945,754,0.9513115237253169,0.9399795682619403
mistral7b_inst,10,seed_3,wildguardtest,0.7327839905826957,0.7375722543352601,0.8461538461538461,0.6423280423280423,945,754,0.8032623187795601,0.7266788687616627
mistral7b_inst,100,seed_3,wildguardtest,0.8051795173631549,0.7890376035691523,0.8209549071618037,0.7925925925925926,945,754,0.8479369289714118,0.7818960855184178
mistral7b_inst,1000,seed_3,wildguardtest,0.8775750441436139,0.8539325842696629,0.8063660477453581,0.9343915343915344,945,754,0.9222587119138842,0.9132700694568106
mistral7b_inst,10000,seed_3,wildguardtest,0.8940553266627428,0.8755186721991701,0.8395225464190982,0.9375661375661376,945,754,0.9481579722959035,0.9380067482576147
mistral7b_inst,20000,seed_3,wildguardtest,0.8917010005885815,0.8727524204702628,0.8368700265251989,0.9354497354497354,945,754,0.950583133341754,0.9393182936293143
mistral7b_inst,40000,seed_3,wildguardtest,0.8952324896998234,0.8770718232044199,0.8421750663129973,0.9375661375661376,945,754,0.9513718720615272,0.9403331278313108
mistral7b_inst,10,seed_4,wildguardtest,0.7292525014714538,0.6883468834688347,0.6737400530503979,0.7735449735449735,945,754,0.7563807839669909,0.670233621871035
mistral7b_inst,100,seed_4,wildguardtest,0.8187168922895821,0.7881705639614855,0.7599469496021221,0.8656084656084656,945,754,0.8642176469762677,0.8349635122767807
mistral7b_inst,1000,seed_4,wildguardtest,0.8752207180694527,0.8527777777777777,0.8143236074270557,0.9238095238095239,945,754,0.9064123615847755,0.8900897986790498
mistral7b_inst,10000,seed_4,wildguardtest,0.8917010005885815,0.8729281767955801,0.8381962864721485,0.9343915343915344,945,754,0.9508118956394818,0.9396025348377844
mistral7b_inst,20000,seed_4,wildguardtest,0.8958210712183637,0.8775086505190312,0.8408488063660478,0.9396825396825397,945,754,0.950781019746537,0.9402290731160774
mistral7b_inst,40000,seed_4,wildguardtest,0.8928781636256622,0.8744827586206897,0.8408488063660478,0.9343915343915344,945,754,0.9514462548945307,0.9404970660131147
olmo2_1124_7b_inst,10,seed_0,wildguardtest,0.8534432018834609,0.8162361623616237,0.73342175066313,0.9492063492063492,945,754,0.8948598655495208,0.880065756697946
olmo2_1124_7b_inst,100,seed_0,wildguardtest,0.861094761624485,0.8316690442225392,0.773209549071618,0.9312169312169312,945,754,0.9172455896593827,0.8939379096781377
olmo2_1124_7b_inst,1000,seed_0,wildguardtest,0.8917010005885815,0.8731034482758621,0.8395225464190982,0.9333333333333333,945,754,0.9273153411084446,0.9155311108426012
olmo2_1124_7b_inst,10000,seed_0,wildguardtest,0.8969982342554443,0.8793935217091661,0.8461538461538461,0.9375661375661376,945,754,0.9502561295664743,0.9287153963548194
olmo2_1124_7b_inst,20000,seed_0,wildguardtest,0.8969982342554443,0.8795595320027529,0.8474801061007957,0.9365079365079365,945,754,0.950776809397499,0.934306477498791
olmo2_1124_7b_inst,40000,seed_0,wildguardtest,0.8993525603296056,0.8823124569855472,0.850132625994695,0.9386243386243386,945,754,0.9506406747786057,0.9369151172073678
olmo2_1124_7b_inst,10,seed_1,wildguardtest,0.8557975279576221,0.8156508653122648,0.7188328912466844,0.9650793650793651,945,754,0.8752515683550166,0.8581598967563938
olmo2_1124_7b_inst,100,seed_1,wildguardtest,0.8864037669217186,0.8656924147529576,0.8249336870026526,0.9354497354497354,945,754,0.9056081849185298,0.8708642800841639
olmo2_1124_7b_inst,1000,seed_1,wildguardtest,0.8964096527369041,0.8784530386740331,0.843501326259947,0.9386243386243386,945,754,0.9253378805102944,0.9108162571579828
olmo2_1124_7b_inst,10000,seed_1,wildguardtest,0.8952324896998234,0.8769017980636238,0.8408488063660478,0.9386243386243386,945,754,0.9507866335452544,0.9334637339130266
olmo2_1124_7b_inst,20000,seed_1,wildguardtest,0.8940553266627428,0.8758620689655172,0.8421750663129973,0.9354497354497354,945,754,0.9510883752263064,0.9362546678760986
