model,model_type,num_categories,dataset_type,score
mistral12b_inst,Hidden States NMC,14,harmful,0.7649122807017544
mistral7b_inst,Hidden States GDA,1,harmful,0.7433198380566801
mistral7b_inst,Hidden States GDA,2,harmful,0.7878787878787878
mistral7b_inst,Hidden States GDA,3,harmful,0.7963800904977375
mistral7b_inst,Hidden States GDA,4,harmful,0.8104089219330854
mistral7b_inst,Hidden States GDA,5,harmful,0.815033161385409
mistral7b_inst,Hidden States GDA,6,harmful,0.8193123628383321
mistral7b_inst,Hidden States GDA,7,harmful,0.8202898550724638
mistral7b_inst,Hidden States GDA,8,harmful,0.8234442836468886
mistral7b_inst,Hidden States GDA,9,harmful,0.8353528153955809
mistral7b_inst,Hidden States GDA,10,harmful,0.8380681818181818
mistral7b_inst,Hidden States GDA,11,harmful,0.8438818565400844
mistral7b_inst,Hidden States GDA,12,harmful,0.8424753867791842
mistral7b_inst,Hidden States GDA,13,harmful,0.848951048951049
mistral7b_inst,Hidden States GDA,14,harmful,0.847009735744089
mistral7b_inst,Hidden States Maha,1,harmful,0.2586605080831409
mistral7b_inst,Hidden States Maha,2,harmful,0.29571106094808125
mistral7b_inst,Hidden States Maha,3,harmful,0.31473214285714285
mistral7b_inst,Hidden States Maha,4,harmful,0.3333333333333333
mistral7b_inst,Hidden States Maha,5,harmful,0.3370044052863436
mistral7b_inst,Hidden States Maha,6,harmful,0.34065934065934067
mistral7b_inst,Hidden States Maha,7,harmful,0.3424807903402854
mistral7b_inst,Hidden States Maha,8,harmful,0.3424807903402854
mistral7b_inst,Hidden States Maha,9,harmful,0.3442982456140351
mistral7b_inst,Hidden States Maha,10,harmful,0.34611171960569553
mistral7b_inst,Hidden States Maha,11,harmful,0.3479212253829322
mistral7b_inst,Hidden States Maha,12,harmful,0.3533260632497274
mistral7b_inst,Hidden States Maha,13,harmful,0.3693304535637149
mistral7b_inst,Hidden States Maha,14,harmful,0.3693304535637149
mistral7b_inst,Hidden States NMC,1,harmful,0.6639784946236559
mistral7b_inst,Hidden States NMC,2,harmful,0.6792452830188679
mistral7b_inst,Hidden States NMC,3,harmful,0.6801040312093628
mistral7b_inst,Hidden States NMC,4,harmful,0.7423423423423423
mistral7b_inst,Hidden States NMC,5,harmful,0.7430972388955582
mistral7b_inst,Hidden States NMC,6,harmful,0.7430972388955582
mistral7b_inst,Hidden States NMC,7,harmful,0.7383891828336273
mistral7b_inst,Hidden States NMC,8,harmful,0.7383891828336273
mistral7b_inst,Hidden States NMC,9,harmful,0.738696418085731
mistral7b_inst,Hidden States NMC,10,harmful,0.738696418085731
mistral7b_inst,Hidden States NMC,11,harmful,0.7388758782201406
mistral7b_inst,Hidden States NMC,12,harmful,0.7375803623611923
mistral7b_inst,Hidden States NMC,13,harmful,0.7371495327102804
mistral7b_inst,Hidden States NMC,14,harmful,0.7378867483946293
olmo2_1124_13b_inst,Hidden States GDA,1,harmful,0.8518518518518519
olmo2_1124_13b_inst,Hidden States GDA,2,harmful,0.8719424460431655
olmo2_1124_13b_inst,Hidden States GDA,3,harmful,0.8766928011404134
olmo2_1124_13b_inst,Hidden States GDA,4,harmful,0.8843441466854725
olmo2_1124_13b_inst,Hidden States GDA,5,harmful,0.8845070422535212
