dataset_type,,harmful,harmful,harmful,harmful,harmful,harmful,harmful,harmful,harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful,non_harmful
dataset,,Aegis,HarmB,OAI,SimpST,ToxiC hum,WG,WJ,XS,AVG,Alpaca,BBH,Codex,GSM8k,MMLU,MTBench,TruthfulQA,AVG
model_type,model,,,,,,,,,,,,,,,,,
Hidden States NMC,olmo2_1124_13b_inst,82.10%,95.86%,73.19%,99.50%,53.51%,81.78%,76.63%,94.49%,82.13%,99.01%,100.00%,100.00%,100.00%,100.00%,100.00%,96.84%,99.41%
Hidden States NMC,olmo2_1124_7b,23.65%,99.58%,37.35%,64.86%,25.61%,62.72%,82.34%,2.01%,49.77%,59.88%,85.19%,26.22%,94.84%,48.76%,48.75%,99.87%,66.22%
Hidden States NMC,olmo2_1124_7b_dpo,82.77%,93.06%,74.11%,98.99%,59.10%,83.16%,83.63%,94.46%,83.66%,99.38%,100.00%,100.00%,100.00%,100.00%,100.00%,98.99%,99.77%
Hidden States NMC,olmo2_1124_7b_inst,82.59%,92.83%,74.66%,98.99%,58.68%,83.63%,83.06%,94.46%,83.61%,99.25%,100.00%,100.00%,100.00%,100.00%,100.00%,98.86%,99.73%
Hidden States NMC,olmo2_1124_7b_sft,81.19%,93.06%,70.38%,97.44%,54.61%,82.20%,83.40%,89.81%,81.51%,99.50%,100.00%,100.00%,100.00%,100.00%,100.00%,99.37%,99.84%
Hidden States NMC,olmoe_1b_7b_0125_inst,81.64%,82.56%,65.84%,99.50%,47.27%,79.75%,69.90%,94.03%,77.56%,98.01%,100.00%,100.00%,100.00%,99.89%,100.00%,90.51%,98.34%
Hidden States NMC,wildguard,58.33%,92.83%,59.81%,78.79%,34.00%,80.75%,87.99%,38.52%,66.38%,85.22%,86.02%,95.73%,100.00%,89.50%,97.50%,99.87%,93.41%
MLP,llama3_8b,62.22%,95.40%,62.07%,89.50%,55.33%,75.62%,70.25%,33.61%,68.00%,90.56%,95.65%,99.39%,100.00%,97.45%,95.00%,99.24%,96.76%
MLP,llama3_8b_inst,78.80%,95.63%,75.38%,98.99%,66.31%,84.50%,87.86%,94.52%,85.25%,97.14%,100.00%,100.00%,100.00%,100.00%,100.00%,98.86%,99.43%
MLP,mistral7b,69.45%,84.26%,60.81%,93.05%,52.08%,76.64%,71.60%,54.95%,70.36%,92.17%,96.02%,98.17%,100.00%,84.77%,92.50%,98.73%,94.62%
MLP,mistral7b_inst,81.75%,95.86%,70.11%,97.44%,61.13%,82.35%,83.01%,90.76%,82.80%,94.66%,99.07%,100.00%,99.92%,99.93%,96.25%,98.61%,98.35%
MLP,olmo2_1124_7b,51.96%,91.86%,58.87%,76.54%,50.31%,74.48%,67.58%,12.38%,60.50%,89.69%,98.98%,94.51%,100.00%,98.51%,91.25%,100.00%,96.13%
MLP,olmo2_1124_7b_inst,84.11%,96.09%,76.26%,98.48%,74.93%,86.54%,94.87%,94.68%,88.25%,99.25%,100.00%,100.00%,100.00%,100.00%,100.00%,99.49%,99.82%
Prompted Model,llama3_8b,26.03%,29.29%,26.39%,33.33%,14.89%,19.26%,18.98%,15.77%,22.99%,86.83%,83.70%,63.41%,45.79%,64.36%,71.25%,88.86%,72.03%
Prompted Model,llama3_8b_inst,70.71%,53.37%,49.48%,81.66%,40.88%,52.13%,27.97%,70.59%,55.85%,96.27%,91.11%,30.49%,94.09%,85.93%,92.50%,97.22%,83.94%
Prompted Model,mistral7b,0.00%,0.83%,0.00%,0.00%,1.35%,4.88%,3.63%,0.00%,1.34%,95.28%,100.00%,0.00%,100.00%,99.27%,87.50%,99.11%,83.02%
Prompted Model,mistral7b_inst,85.06%,78.99%,67.57%,99.50%,60.96%,78.73%,87.94%,81.00%,79.97%,95.03%,86.39%,93.29%,100.00%,96.54%,90.00%,93.67%,93.56%
Prompted Model,olmo2_1124_7b,26.77%,9.56%,25.94%,48.48%,12.47%,24.54%,5.35%,55.68%,26.10%,98.76%,65.83%,89.02%,100.00%,98.83%,96.25%,100.00%,92.67%
Prompted Model,olmo2_1124_7b_dpo,86.57%,79.60%,75.90%,100.00%,66.98%,83.07%,77.28%,85.27%,81.83%,98.51%,13.06%,93.29%,98.64%,95.01%,92.50%,92.66%,83.38%
Prompted Model,olmo2_1124_7b_inst,86.57%,79.60%,76.08%,100.00%,67.14%,82.62%,78.25%,84.33%,81.82%,98.39%,21.94%,90.85%,99.92%,94.57%,93.75%,92.78%,84.60%
Prompted Model,olmo2_1124_7b_sft,82.73%,79.29%,76.07%,98.99%,65.75%,81.40%,72.50%,87.44%,80.52%,98.63%,14.91%,97.56%,99.77%,98.65%,97.50%,94.43%,85.92%
