dataset,model,num_datasets,dataset_type,score,model_type
mmlu,llama3_8b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
mmlu,llama3_8b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
mmlu,llama3_8b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
codex,llama3_8b_inst,wildguard,non_harmful,1.0,Hidden States GDA
codex,llama3_8b_inst,aegis,non_harmful,1.0,Hidden States GDA
codex,llama3_8b_inst,toxichat,non_harmful,1.0,Hidden States GDA
codex,llama3_8b_inst,wildguard+aegis,non_harmful,1.0,Hidden States GDA
codex,llama3_8b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
codex,llama3_8b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
codex,llama3_8b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,llama3_8b_inst,wildguard,non_harmful,1.0,Hidden States GDA
gsm8k,llama3_8b_inst,aegis,non_harmful,1.0,Hidden States GDA
gsm8k,llama3_8b_inst,toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,llama3_8b_inst,wildguard+aegis,non_harmful,1.0,Hidden States GDA
gsm8k,llama3_8b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,llama3_8b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,llama3_8b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
bbh,llama3_8b_inst,wildguard,non_harmful,1.0,Hidden States GDA
bbh,llama3_8b_inst,aegis,non_harmful,0.9990740740740741,Hidden States GDA
bbh,llama3_8b_inst,toxichat,non_harmful,1.0,Hidden States GDA
bbh,llama3_8b_inst,wildguard+aegis,non_harmful,0.9851851851851852,Hidden States GDA
bbh,llama3_8b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
bbh,llama3_8b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
bbh,llama3_8b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
mtbench,llama3_8b_inst,wildguard,non_harmful,0.9875,Hidden States GDA
mtbench,llama3_8b_inst,aegis,non_harmful,0.9625,Hidden States GDA
mtbench,llama3_8b_inst,toxichat,non_harmful,1.0,Hidden States GDA
mtbench,llama3_8b_inst,wildguard+aegis,non_harmful,0.9875,Hidden States GDA
mtbench,llama3_8b_inst,wildguard+toxichat,non_harmful,0.9875,Hidden States GDA
mtbench,llama3_8b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
mtbench,llama3_8b_inst,wildguard+aegis+toxichat,non_harmful,0.9875,Hidden States GDA
truthfulqa,llama3_8b_inst,wildguard,non_harmful,0.9481012658227848,Hidden States GDA
truthfulqa,llama3_8b_inst,aegis,non_harmful,0.8443037974683544,Hidden States GDA
truthfulqa,llama3_8b_inst,toxichat,non_harmful,1.0,Hidden States GDA
