model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
llama3_8b_inst,harmbench,10,0.99581589958159,0.9979035639412998,0.99581589958159,0.0,,1.0,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,11,0.9790794979079498,0.9894291754756871,0.9790794979079498,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,12,0.8786610878661087,0.9354120267260579,0.8786610878661087,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,13,0.9665271966527197,0.9829787234042553,0.9665271966527197,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,14,0.9665271966527197,0.9829787234042553,0.9665271966527197,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,15,0.8619246861924686,0.9258426966292135,0.8619246861924686,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,16,0.9665271966527197,0.9829787234042553,0.9665271966527197,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,17,0.9665271966527197,0.9829787234042553,0.9665271966527197,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,18,0.9916317991631799,0.9957983193277311,0.9916317991631799,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,19,0.99581589958159,0.9979035639412998,0.99581589958159,0.0,,0.9999999999999999,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,20,0.9874476987447699,0.9936842105263158,0.9874476987447699,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,21,0.9707112970711297,0.9851380042462845,0.9707112970711297,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,22,0.9665271966527197,0.9829787234042553,0.9665271966527197,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,23,0.9288702928870293,0.9631236442516269,0.9288702928870293,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,24,0.9623430962343096,0.9808102345415778,0.9623430962343096,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,25,0.9497907949790795,0.9742489270386266,0.9497907949790795,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,26,0.9665271966527197,0.9829787234042553,0.9665271966527197,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,27,0.9748953974895398,0.9872881355932204,0.9748953974895398,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,28,0.9874476987447699,0.9936842105263158,0.9874476987447699,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,29,0.9623430962343096,0.9808102345415778,0.9623430962343096,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,30,0.9497907949790795,0.9742489270386266,0.9497907949790795,0.0,,0.9999999999999998,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,31,0.9748953974895398,0.9872881355932204,0.9748953974895398,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,harmbench,32,0.9832635983263598,0.9915611814345991,0.9832635983263598,0.0,,0.9999999999999997,0,239,Hidden States Maha,32
llama3_8b_inst,openai_mod,1,0.5357142857142857,0.5208845208845209,0.8122605363984674,0.4110535405872193,0.7104814748641798,0.5640684724146958,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,2,0.5476190476190477,0.5325953259532595,0.8295019157088123,0.42055267702936094,0.7323690270581462,0.5698361190789412,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,3,0.5702380952380952,0.5559655596555966,0.8659003831417624,0.4369602763385147,0.7677285781404058,0.6140499367142874,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,4,0.6,0.582089552238806,0.896551724137931,0.46632124352331605,0.8097972458790754,0.6881926221598536,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,5,0.6446428571428572,0.6115810019518543,0.9003831417624522,0.5293609671848014,0.8328271097611815,0.7135320085084143,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,6,0.6577380952380952,0.6239372138652715,0.9137931034482759,0.542314335060449,0.844828413369596,0.742337449639967,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,7,0.7142857142857143,0.660056657223796,0.89272030651341,0.6338514680483592,0.8662097419914108,0.7700201153911099,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,8,0.7220238095238095,0.6745644599303136,0.9272030651340997,0.6295336787564767,0.8863313018217431,0.7943980627579165,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,9,0.7065476190476191,0.6653088934147997,0.9386973180076629,0.6018998272884283,0.8895440017469676,0.793832944584429,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,10,0.7261904761904762,0.6801112656467315,0.9367816091954023,0.6312607944732297,0.8964946499116591,0.8063413126363926,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,11,0.7601190476190476,0.7047619047619048,0.921455938697318,0.687392055267703,0.913272818110231,0.8439801436548622,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,12,0.7607142857142857,0.701780415430267,0.9061302681992337,0.6951640759930915,0.9083445827460479,0.8302870340716733,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,13,0.7761904761904762,0.7129770992366412,0.8946360153256705,0.7227979274611399,0.9134655470192364,0.8397144129874018,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,14,0.8029761904761905,0.7375099127676448,0.8908045977011494,0.7633851468048359,0.9217131862968919,0.8532979530064753,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,15,0.7875,0.726016884113584,0.9061302681992337,0.7340241796200345,0.9206353932993203,0.8553077978630697,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,16,0.8142857142857143,0.747163695299838,0.8831417624521073,0.7832469775474957,0.9258944937433413,0.8676271499300539,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,17,0.8095238095238095,0.7456279809220986,0.8984674329501916,0.7694300518134715,0.9186063631972156,0.8465445928621432,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,18,0.7797619047619048,0.7201210287443268,0.9118773946360154,0.7202072538860104,0.9152480826368623,0.8354245604902643,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,19,0.7821428571428571,0.7214611872146118,0.9080459770114943,0.7253886010362695,0.9143572284093991,0.8399545847145884,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,20,0.7946428571428571,0.7306791569086651,0.896551724137931,0.7487046632124352,0.9108368239599256,0.8387482593529352,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,21,0.7904761904761904,0.7228346456692913,0.8793103448275862,0.7504317789291882,0.8959834633633097,0.8196350861692819,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,22,0.7964285714285714,0.7268370607028753,0.8716475095785441,0.7625215889464594,0.9042939670061343,0.8339761219293405,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,23,0.8065476190476191,0.7346938775510204,0.8620689655172413,0.7815198618307426,0.9066588251642745,0.8464896844108594,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,24,0.7976190476190477,0.7284345047923323,0.8735632183908046,0.7633851468048359,0.9091063995923743,0.8509600355785657,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,25,0.8095238095238095,0.7402597402597403,0.8735632183908046,0.7806563039723662,0.9168775931550632,0.8504522220703361,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,26,0.8125,0.7436940602115542,0.8754789272030651,0.7841105354058722,0.9142976726950284,0.8482627019485529,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,27,0.8065476190476191,0.7376916868442293,0.8754789272030651,0.7754749568221071,0.9127947180698656,0.8474440594098372,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,28,0.8226190476190476,0.7541254125412541,0.8754789272030651,0.7987910189982729,0.9145251424374169,0.8555375549609925,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,29,0.8220238095238095,0.7535037098103875,0.8754789272030651,0.7979274611398963,0.9121793090213672,0.8461382344239127,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,30,0.8142857142857143,0.7442622950819672,0.8697318007662835,0.7892918825561313,0.9080931252853711,0.8391250451166198,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,31,0.8065476190476191,0.7338247338247338,0.8582375478927203,0.7832469775474957,0.9060632680205666,0.8423128436972904,1158,522,Hidden States Maha,32
llama3_8b_inst,openai_mod,32,0.8029761904761905,0.7302363488182559,0.8582375478927203,0.7780656303972366,0.9023319370826964,0.831923228699064,1158,522,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,1,0.54,0.7012987012987013,0.54,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,2,0.5,0.6666666666666666,0.5,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,3,0.62,0.7654320987654321,0.62,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,4,0.79,0.88268156424581,0.79,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,5,0.76,0.8636363636363636,0.76,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,6,0.82,0.9010989010989011,0.82,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,7,0.92,0.9583333333333334,0.92,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,8,0.94,0.9690721649484536,0.94,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,9,0.95,0.9743589743589743,0.95,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,10,0.96,0.9795918367346939,0.96,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,11,0.96,0.9795918367346939,0.96,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,12,0.98,0.98989898989899,0.98,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,13,0.98,0.98989898989899,0.98,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,14,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,15,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,16,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,17,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,18,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,19,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
