model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
llama3_8b,wildguardtest,18,0.8422601530311948,0.8063583815028902,0.7400530503978779,0.9238095238095239,0.9180252059562406,0.8945884510079717,945,754,Hidden States Maha,
llama3_8b,wildguardtest,19,0.8428487345497352,0.8077753779697624,0.7440318302387268,0.9216931216931217,0.9190630569940915,0.8972860554368463,945,754,Hidden States Maha,
llama3_8b,wildguardtest,20,0.8434373160682754,0.8086330935251799,0.7453580901856764,0.9216931216931217,0.9185009753975272,0.8956266224655368,945,754,Hidden States Maha,
llama3_8b,wildguardtest,21,0.8399058269570335,0.8026124818577649,0.73342175066313,0.9248677248677248,0.918493256424291,0.8948996048442535,945,754,Hidden States Maha,
llama3_8b,wildguardtest,22,0.8428487345497352,0.8052516411378556,0.7320954907161804,0.9312169312169312,0.9196496989600436,0.8956781318061554,945,754,Hidden States Maha,
llama3_8b,wildguardtest,23,0.8428487345497352,0.8046817849305048,0.7294429708222812,0.9333333333333333,0.919488302246923,0.8950694137930212,945,754,Hidden States Maha,
llama3_8b,wildguardtest,24,0.8446144791053561,0.8081395348837209,0.7374005305039788,0.9301587301587302,0.9195325109118214,0.8949936791602402,945,754,Hidden States Maha,
llama3_8b,wildguardtest,25,0.8510888758092996,0.8165337200870196,0.746684350132626,0.9343915343915344,0.9211541970162659,0.8985610887636324,945,754,Hidden States Maha,
llama3_8b,wildguardtest,26,0.8469688051795173,0.8102189781021898,0.7360742705570292,0.9354497354497354,0.9210770072839038,0.8987091133282381,945,754,Hidden States Maha,
llama3_8b,wildguardtest,27,0.8540317834020011,0.8205499276410999,0.7519893899204244,0.9354497354497354,0.9218973236214615,0.8989503976364576,945,754,Hidden States Maha,
llama3_8b,wildguardtest,28,0.8557975279576221,0.8218181818181818,0.7493368700265252,0.9407407407407408,0.9212461229702609,0.8963510862236801,945,754,Hidden States Maha,
llama3_8b,wildguardtest,29,0.8534432018834609,0.8186453022578296,0.7453580901856764,0.9396825396825397,0.9219857409512583,0.8986136886740587,945,754,Hidden States Maha,
llama3_8b,wildguardtest,30,0.85167745732784,0.8163265306122449,0.7427055702917772,0.9386243386243386,0.9259111897042931,0.9005811256966141,945,754,Hidden States Maha,
llama3_8b,wildguardtest,31,0.8540317834020011,0.8189781021897811,0.7440318302387268,0.9417989417989417,0.9251729751729751,0.9023356860073329,945,754,Hidden States Maha,
llama3_8b,wildguardtest,32,0.8522660388463802,0.8169219547775346,0.7427055702917772,0.9396825396825397,0.9254396306120443,0.9066478407045633,945,754,Hidden States Maha,
llama3_8b_inst,wildguardtest,1,0.7804590935844614,0.7267399267399267,0.6578249336870027,0.8783068783068783,0.8393379927862686,0.8215632985341499,945,754,Hidden States Maha,32.0
